Date,D_ANDO,D_IMHA,D_SUDK,D_YENJ,D_GNWE,D_GMBH,D_YEOC,D_HAPC,D_NAMG,D_MIRY
2017-07-02,29.81,13.22,0.53,0.99,1.26,1.07,0.48,24.49,29.29,2.61
2017-07-03,0,37.06,0.59,1.28,1.26,1.13,0.45,24.51,29.33,2.61
2017-07-04,0,11.99,0.59,1.71,1.25,1.19,0.43,24.5,29.33,2.61
2017-07-05,5.09,31.61,0.73,1.71,1.25,1.19,0.41,24.51,29.33,2.66
2017-07-06,29.81,13.04,0.71,1.71,1.16,1.19,0.4,24.49,29.41,2.68
2017-07-07,18.82,13,0.58,1.71,1.08,1.19,0.4,23.02,29.23,2.66
2017-07-08,5.61,6.53,0.58,1.71,1.07,1.19,0.4,22.99,29.32,2.61
2017-07-09,29.85,13.04,0.58,1.71,1.07,0.97,0.4,24.51,29.3,2.61
2017-07-10,22.19,11.64,0.58,1.71,1.06,1.09,0.37,24.49,29.33,2.64
2017-07-11,27.72,11.62,0.58,1.71,1.06,1.15,0.4,24.5,29.32,2.61
2017-07-12,29.8,13.02,0.68,1.71,1.05,1.19,0.4,24.5,29.42,2.6
2017-07-13,29.84,13.04,0.75,1.71,1.05,1.18,0.4,24.51,29.5,2.62
2017-07-14,29.81,13.06,0.78,1.71,1.07,1.17,0.4,24.51,29.43,2.63
2017-07-15,29.82,13.1,0.6,1.71,1.09,1.08,0.4,24.53,29.44,2.6
2017-07-16,9.04,9.38,0.6,1.71,1.09,1.18,0.4,24.5,29.33,2.58
2017-07-17,8.03,11.97,0.56,1.71,1.09,1.18,0.4,24.49,29.35,2.6
2017-07-18,27.92,11.86,0.59,1.71,1.08,1.18,0.4,24.52,29.41,2.59
2017-07-19,24.22,9.33,0.63,1.71,1.08,1.18,0.39,24.51,29.47,2.62
2017-07-20,29.8,13.13,0.7,1.71,1.08,1.18,0.39,24.49,29.51,2.62
2017-07-21,29.81,13.06,0.78,1.71,1.07,1.18,0.39,24.52,29.52,2.47
2017-07-22,36.89,13.26,0.74,1.72,1.07,1.18,0.39,13.6,29.51,2.27
2017-07-23,36.92,13.26,0.58,1.72,1.07,1.19,0.39,13.6,29.4,2.33
2017-07-24,36.18,13.25,0.59,4.31,1.07,1.19,0.4,13.59,29.42,2.28
2017-07-25,22.73,9.46,0.58,8.04,1.08,1.19,0.4,13.61,29.5,2.21
2017-07-26,10.7,8.57,0.58,8.04,1.08,1.19,0.39,10.02,29.53,2.06
2017-07-27,10.72,8.56,0.78,8.03,1.07,1.19,0.39,10.01,29.47,2.02
2017-07-28,31.43,12.49,0.77,8.03,1.07,1.19,0.39,10.01,29.51,2
2017-07-29,6.7,12.63,0.58,8.02,1.07,1.19,0.39,9.99,29.42,1.99
2017-07-30,6.73,12.66,0.58,8.03,1.07,1.19,0.39,10,29.39,1.96
2017-07-31,6.73,12.66,0.59,9.55,1.07,1.19,0.39,10.02,29.43,1.88
2017-08-01,12.22,8.75,0.34,13.91,1.07,1.13,0.39,9.99,17.8,1.82
2017-08-02,12.2,8.76,0.31,17.02,1.07,1.02,0.37,10,17.88,1.85
2017-08-03,12.19,8.77,0.4,11.02,1.07,1.07,0.27,10.02,17.93,1.92
2017-08-04,48.13,10.2,0.4,9.04,1.07,1.07,0.21,10.02,17.86,2.02
2017-08-05,48.11,10.17,0.4,9.03,1.09,1.07,0.21,10,12.53,2.01
2017-08-06,48.12,10.19,0.4,9.01,1.09,1.07,0.21,10.01,12.38,2.06
2017-08-07,42.5,6.39,0.4,9,1.09,1.07,0.21,10.01,12.34,2.1
2017-08-08,45.72,8.59,0.46,8.97,1.08,1.08,0.21,10,12.39,1.99
2017-08-09,46.52,10.16,0.5,8.97,1.08,1.08,0.21,10,12.26,1.89
2017-08-10,34.49,6.36,0.5,13.25,1.08,1.08,0.21,10.01,12.36,1.9
2017-08-11,34.49,6.37,0.5,15.51,1.08,1.08,0.21,10.01,12.39,1.89
2017-08-12,34.53,6.39,0.5,17.51,1.07,1.08,0.21,10.01,12.28,1.89
2017-08-13,34.52,6.38,0.5,17.65,1.07,1.08,0.21,10.01,12.39,1.87
2017-08-14,34.52,6.62,0.34,17.4,1.08,1.08,0.21,10.02,12.22,1.8
2017-08-15,23.08,5.91,0.25,17.81,1.1,1.07,0.21,10,12.35,1.85
2017-08-16,3.01,6.29,0.25,17.78,1.11,1.06,0.21,10.01,12.38,1.83
2017-08-17,3.05,6.29,0.25,17.78,1.11,1.05,0.21,10,12.46,1.87
2017-08-18,3.01,6.3,0.25,17.79,1.11,1.06,0.21,10.02,12.45,1.77
2017-08-19,3.02,41,0.25,17.8,1.11,1.06,0.21,10,12.41,1.76
2017-08-20,3.01,47.29,0.36,17.77,1.11,1.06,0.21,10,12.3,1.74
2017-08-21,26.02,20,0.51,17.72,1.11,1.06,0.21,8.02,12.3,1.73
2017-08-22,37.49,6.39,0.44,17.71,1.11,1.05,0.27,6.99,12.43,1.06
2017-08-23,37.53,6.43,0.37,17.7,1.11,1.05,0.26,7,12.49,1.32
2017-08-24,34.65,8.76,0.31,17.69,0.72,0.86,0.26,5.01,38.17,1.63
2017-08-25,14.62,6.44,0.32,17.7,0.62,0.7,0.24,5.03,41.42,1.61
2017-08-26,36.72,10.11,0.4,17.74,0.68,0.7,0.23,5.01,38.05,1.6
2017-08-27,36.73,10.22,0.4,17.78,0.68,0.71,0.23,5,38.06,1.58
2017-08-28,36.71,10.19,0.4,17.78,0.67,0.71,0.27,5,37.98,1.58
2017-08-29,36.7,10.22,0.4,17.73,0.68,0.71,0.27,5.01,38.17,1.58
2017-08-30,36.69,10.2,0.4,17.64,0.69,0.71,0.26,4.99,38.12,1.56
2017-08-31,36.69,10.21,0.4,15.36,0.68,0.71,0.26,4.99,38.13,1.53
